Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
southern pomo,United States of America,critically endangered,3,4.0,3,True,
southern selkup,Russian Federation,critically endangered,5,4.0,5,True,
southern sierra miwok,United States of America,critically endangered,3,4.0,3,True,
southern tiwa,United States of America,definitely endangered,1600,2.0,1600,True,
southern tlapanec,Mexico,severely endangered,592,3.0,592,True,
southern tujia,China,severely endangered,10000,3.0,10000,True,
southern tutchone,Canada,critically endangered,40,4.0,40,True,
southern zoque,Mexico,definitely endangered,312,2.0,312,True,
southwestern tepehuan,Mexico,vulnerable,2756,1.0,2756,True,
southwestern tlapanec,Mexico,vulnerable,23,1.0,23,True,
sowa,Vanuatu,critically endangered,10,4.0,10,True,
soyaltepec mazatec,Mexico,vulnerable,27524,1.0,27524,True,
soyot,Russian Federation,extinct,0,5.0,0,True,
spiti,"India, Pakistan",vulnerable,1000,1.0,1000,True,
spokane,United States of America,critically endangered,2,4.0,2,True,
squamish,Canada,critically endangered,1000,4.0,1000,True,
stieng,Cambodia,severely endangered,1000,3.0,1000,True,
stoney,Canada,vulnerable,2765,1.0,2765,True,
straits salish,"Canada, United States of America",severely endangered,180,3.0,180,True,
suarmin,Papua New Guinea,definitely endangered,145,2.0,145,True,
suba,"Kenya, United Republic of Tanzania",vulnerable,100000,1.0,100000,True,
subtiaba,Nicaragua,extinct,0,5.0,0,True,
sulung,"China, India",definitely endangered,6000,2.0,6000,True,
sumariup,Papua New Guinea,severely endangered,65,3.0,65,True,
sunwar,Nepal,vulnerable,26611,1.0,26611,True,
surel,Nepal,critically endangered,25,4.0,25,True,
suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",definitely endangered,240000,2.0,240000,True,
suruah,Brazil,vulnerable,136,1.0,136,True,
susuami,Papua New Guinea,critically endangered,10,4.0,10,True,
svan,Georgia,definitely endangered,80000,2.0,80000,True,
swampy cree,Canada,vulnerable,16685,1.0,16685,True,
swoeng,Lao People's Democratic Republic,definitely endangered,492,2.0,492,True,
sliba,"Colombia, Venezuela (Bolivarian Republic of)",severely endangered,2000,3.0,2000,True,
sm,Nepal,severely endangered,23,3.0,23,True,
taa,Botswana,definitely endangered,4000,2.0,4000,True,
taap,Papua New Guinea,critically endangered,10,4.0,10,True,
taba,Indonesia,vulnerable,10000,1.0,10000,True,
tabasaran,Russian Federation,vulnerable,128391,1.0,128391,True,
tabasco nhuatl,Mexico,critically endangered,434,4.0,434,True,
tacana,Bolivia (Plurinational State of),definitely endangered,1000,2.0,1000,True,
tacenwit,Algeria,vulnerable,20000,1.0,20000,True,
tafi,Ghana,vulnerable,4400,1.0,4400,True,
tagargrent,Algeria,severely endangered,15000,3.0,15000,True,
tagin,India,vulnerable,30000,1.0,30000,True,
tagish,Canada,critically endangered,1000,4.0,1000,True,
tagoi,Sudan,severely endangered,13000,3.0,13000,True,
tahltan,Canada,critically endangered,60,4.0,60,True,
tai daeng,"Lao People's Democratic Republic, Viet Nam",vulnerable,80000,1.0,80000,True,
tai neua,Lao People's Democratic Republic,vulnerable,70000,1.0,70000,True,
tai nora,India,critically endangered,100,4.0,100,True,
tai phake,India,severely endangered,2000,3.0,2000,True,
tai rong,India,critically endangered,100,4.0,100,True,
taiap,Papua New Guinea,severely endangered,89,3.0,89,True,
taikat,Indonesia,definitely endangered,500,2.0,500,True,
tailoi,Myanmar,critically endangered,1000,4.0,1000,True,
taje,Indonesia,critically endangered,350,4.0,350,True,
tajio,Indonesia,vulnerable,12000,1.0,12000,True,
takahanyilang,India,critically endangered,3000,4.0,3000,True,
talodi,Sudan,critically endangered,1500,4.0,1500,True,
taloki,Indonesia,definitely endangered,500,2.0,500,True,
talondo,Indonesia,definitely endangered,400,2.0,400,True,
talu,China,vulnerable,10000,1.0,10000,True,
talysh,"Azerbaijan, Iran (Islamic Republic of)",vulnerable,1000000,1.0,1000000,True,
tamaceq,Mali,definitely endangered,800000,2.0,800000,True,
tamahaq,Algeria,vulnerable,120000,1.0,120000,True,
tamahaq,Libyan Arab Jamahiriya,definitely endangered,17000,2.0,17000,True,
tamajeq,Niger,vulnerable,1750000,1.0,1750000,True,
taman,Myanmar,extinct,0,5.0,0,True,
tamang,"India, Nepal",vulnerable,1196639,1.0,1196639,True,
