Name in English,Countries,Degree of endangerment,Number of speakers
Phuthi,Lesotho,Definitely endangered,43000.0
Rarotongan,Cook Islands,Vulnerable,43000.0
Khalaj,Iran (Islamic Republic of),Vulnerable,42100.0
Dungan,"Kazakhstan, Kyrgyzstan",Definitely endangered,41000.0
Kheza,India,Vulnerable,41000.0
Jola-Kassa,Senegal,Vulnerable,40850.0
Satār,Nepal,Vulnerable,40260.0
Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)",Vulnerable,40000.0
Gutob,India,Vulnerable,40000.0
Kheng,Bhutan,Vulnerable,40000.0
Laro,Sudan,Definitely endangered,40000.0
Minyong,India,Vulnerable,40000.0
Mru,Myanmar,Severely endangered,40000.0
Patani Malay,Thailand,Vulnerable,40000.0
"Quechua of Cajatambo, Pasco and northern Junín",Peru,Severely endangered,40000.0
Quichua (Napo),Ecuador,Definitely endangered,40000.0
Tangsa,India,Vulnerable,40000.0
Tetserret,Niger,Severely endangered,40000.0
Awajun,Peru,Vulnerable,39000.0
Khiamngan,India,Vulnerable,38000.0
Ngile,Sudan,Severely endangered,38000.0
Phunoi,Lao People's Democratic Republic,Vulnerable,37311.0
Lower Mixe,Mexico,Vulnerable,37000.0
Maram,India,Vulnerable,37000.0
Western Mari,Russian Federation,Severely endangered,36822.0
Chepang,Nepal,Vulnerable,36807.0
Chontal Tabasco,Mexico,Severely endangered,36514.0
Muji,China,Definitely endangered,36500.0
Akatek (Guatemala),Guatemala,Vulnerable,35763.0
Huichol,Mexico,Vulnerable,35724.0
Romansh,Switzerland,Definitely endangered,35095.0
Apatani,India,Vulnerable,35000.0
Galo,India,Vulnerable,35000.0
Korwa,India,Vulnerable,35000.0
Shuar chicham,Ecuador,Definitely endangered,35000.0
Ticuna,"Brazil, Colombia, Peru",Definitely endangered,35000.0
Wanka Quechua,Peru,Severely endangered,35000.0
Sikuani,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,34614.0
Jakaltek (Guatemala),Guatemala,Definitely endangered,34038.0
Liangmai,India,Vulnerable,34000.0
Zeme,India,Vulnerable,34000.0
Highland Mazatec,Mexico,Vulnerable,33859.0
Thangmi,Nepal,Definitely endangered,33500.0
Nocte,India,Vulnerable,33000.0
Mayo,Mexico,Critically endangered,32869.0
Lauje,Indonesia,Vulnerable,32000.0
Danuwar,Nepal,Severely endangered,31849.0
Sirmaudi,India,Critically endangered,31144.0
Abaza,"Russian Federation, Turkey",Definitely endangered,31000.0
Koch,India,Definitely endangered,31000.0
Amis,China,Vulnerable,30000.0
Biak,Indonesia,Vulnerable,30000.0
Bumthang,Bhutan,Vulnerable,30000.0
Burgenland Croatian,"Austria, Hungary, Slovakia",Definitely endangered,30000.0
Dzhidi,Iran (Islamic Republic of),Definitely endangered,30000.0
Judeo-Berber (Israel),Israel,Severely endangered,30000.0
Kham,Nepal,Definitely endangered,30000.0
Ladin,Italy,Definitely endangered,30000.0
Lepcha,"Bhutan, India, Nepal",Definitely endangered,30000.0
Maonan,China,Vulnerable,30000.0
"Mok (Myanmar, Thailand)","Myanmar, Thailand",Definitely endangered,30000.0
Moro,Sudan,Definitely endangered,30000.0
Mulam,China,Vulnerable,30000.0
North Saami,"Finland, Norway, Russian Federation, Sweden",Definitely endangered,30000.0
Quechua of Cajamarca,Peru,Severely endangered,30000.0
Quichua (Pastaza),Ecuador,Definitely endangered,30000.0
Rushani,"Tajikistan, Afghanistan",Definitely endangered,30000.0
Tagin,India,Vulnerable,30000.0
Tialo,Indonesia,Vulnerable,30000.0
Tidikelt,Algeria,Critically endangered,30000.0
Toba,Argentina,Definitely endangered,30000.0
Tundra Nenets,Russian Federation,Definitely endangered,30000.0
Vojvodina Rusyn,"Croatia, Serbia",Definitely endangered,30000.0
Wuse,China,Vulnerable,30000.0
Agul,Russian Federation,Definitely endangered,29399.0
Rutul,"Azerbaijan, Russian Federation",Definitely endangered,29383.0
Bateri,Pakistan,Definitely endangered,29000.0
Mzieme,India,Vulnerable,29000.0
Ghale,Nepal,Vulnerable,28989.0
Sierra Popoluca,Mexico,Vulnerable,28700.0
Kurux (Nepal),Nepal,Vulnerable,28615.0
Deori,India,Definitely endangered,28000.0
Soyaltepec Mazatec,Mexico,Vulnerable,27524.0
Western Mazahua,Mexico,Definitely endangered,27037.0
Sibe,China,Severely endangered,27000.0
Isthmus Náhuatl,Mexico,Vulnerable,26632.0
Sunwar,Nepal,Vulnerable,26611.0
Mancagne,Senegal,Vulnerable,26450.0
Gadaba,India,Critically endangered,26262.0
Banat Bulgarian,"Romania, Serbia",Definitely endangered,25000.0
Csángó Hungarian,Romania,Severely endangered,25000.0
Koda,India,Vulnerable,25000.0
Minhe Monguor,China,Definitely endangered,25000.0
Miskito (Honduras),Honduras,Vulnerable,25000.0
